msg_id,DE,EN,FR,IT,RM
add_layer,Layer hinzufügen,Add Layer,Ajouter couche,Aggiungere layer,Agiuntar Layer
add_wms_layer_failed,Fehler beim Laden WMS Layer,Error when loading WMS layer,Erreur au chargement de la couche WMS,Errore nel caricamento del layer WMS,Sbagl tar il chargiar de la WMS layer
add_wms_layer_succeeded,WMS Layer erfolgreich geladen,WMS layer successfully loaded,Couche WMS chargée avec succès,Layer WMS caricato con successo,Chargià con success il WMS Layer
are,ARE,ARE,ARE,ARE,ARE
are_help_link_href,http://help.geo.admin.ch/,http://help.geo.admin.ch/?lang=en,http://help.geo.admin.ch/?lang=fr,http://help.geo.admin.ch/?lang=it,http://help.geo.admin.ch/
are_page_title,map.geo.admin.ch,map.geo.admin.ch,map.geo.admin.ch,map.geo.admin.ch,map.geo.admin.ch
are_service_link_href,http://www.are.admin.ch/index.html?lang=de,http://www.are.admin.ch/index.html?lang=en,http://www.are.admin.ch/index.html?lang=fr,http://www.are.admin.ch/index.html?lang=it,http://www.are.admin.ch/index.html?lang=de
are_service_link_label,www.are.admin.ch,www.are.admin.ch,www.are.admin.ch,www.are.admin.ch,www.are.admin.ch
bafu,BAFU,FOEN,OFEV,UFAM,BAFU
bafu_help_link_href,http://help.geo.admin.ch/,http://help.geo.admin.ch/?lang=en,http://help.geo.admin.ch/?lang=fr,http://help.geo.admin.ch/?lang=it,http://help.geo.admin.ch/
bafu_page_title,map.geo.admin.ch,map.geo.admin.ch,map.geo.admin.ch,map.geo.admin.ch,map.geo.admin.ch
bafu_service_link_href,http://www.bafu.admin.ch/index.html?lang=de,http://www.bafu.admin.ch/index.html?lang=en,http://www.bafu.admin.ch/index.html?lang=fr,http://www.bafu.admin.ch/index.html?lang=it,http://www.bafu.admin.ch/index.html?lang=de
bafu_service_link_label,www.bafu.admin.ch,www.bafu.admin.ch,www.bafu.admin.ch,www.bafu.admin.ch,www.bafu.admin.ch
bg_chooser_label,Hintergrund,Background,Fond de plan,Sfondo,Fund da la carta
blw,BLW,FOAG,OFAG,UFAG,BLW
